person_id,trip_key
berlin_fac26c03,1
berlin_25f29692,1
berlin_a02c90cc,1
berlin_e9c52d08,1
bb_f2ff33a9,1
bb_381e748a,1
bb_a8691682,1
bb_f972cf19,1
bb_59d6e2ca,1
bb_4697166d,1
bb_4bd83498,1
bb_f73ca0a6,1
berlin_5f6b2e6a,2
berlin_ec05e2c9,1
bb_87fc53c4,1
berlin_20ee2034,1
berlin_a79e65a3,1
berlin_d94daed7,1
bb_6d3f1ff5,1
bb_c1d3ef7d,1
bb_f0e48b18,1
berlin_d5c47864,1
berlin_4ae083ac,1
bb_591f9a88,1
bb_fea74acf,1
bb_73bd79ca,1
bb_df56f7e4,1
bb_ec8dbc71,1
berlin_2a576075,1
bb_c8d7037f,1
berlin_083fb1c3,1
berlin_eb974ddf,1
berlin_7e866ee3,1
berlin_0497fc21,1
berlin_01266395,1
berlin_4b52826c,1
berlin_6608396c,1
berlin_c7666771,1
berlin_df1ba3e9,1
bb_6407f79d,1
berlin_01d27052,1
berlin_07b9ec37,1
berlin_f2ace9ed,2
bb_1b1876e3,1
berlin_afe0b3d8,1
berlin_220fb57e,1
berlin_110f5f69,1
berlin_109463a6,1
berlin_057d1724,1
berlin_986b64ca,1
berlin_4dd4e5b0,1
berlin_57c90307,1
berlin_f84e7e51,2
berlin_b73ebbc3,1
bb_168291bd,1
bb_ddfe9261,1
berlin_df175270,1
berlin_a4a62108,1
berlin_a48facf2,1
berlin_19b30216,1
berlin_1529baeb,1
berlin_c701d4ad,1
berlin_48c0109e,1
berlin_d24ffe01,1
berlin_f8ad475c,2
bb_31e18bd0,1
bb_43147383,1
bb_df0361f1,1
berlin_27df9e9e,2
berlin_c082b6cd,1
berlin_895d0ce5,1
bb_c8481073,2
bb_c056a4a4,2
berlin_0a4eabd0,2
berlin_35cd7884,1
bb_e1a3c41c,1
bb_fbd793f3,2
berlin_20ab6b9e,1
berlin_1882dc62,1
berlin_0aad0105,1
berlin_163d22fc,1
berlin_03383c0d,1
berlin_dc64338d,1
berlin_124c919f,2
berlin_d91c9535,1
berlin_69310fc2,1
berlin_2cb69e3b,3
bb_280bd079,1
berlin_ad9f2886,1
berlin_da7564ca,1
bb_bc00143d,1
berlin_1c431c0e,1
berlin_9188496e,1
berlin_19654e95,1
berlin_1bcdf237,1
berlin_1329ff82,1
berlin_150a59bf,1
berlin_185b7149,1
berlin_161f0c4d,1
berlin_0bbc712b,1
berlin_0629953a,1
berlin_f7da2194,1
bb_9f79ce21,1
bb_2dcffa03,1
bb_20f3f3cd,1
bb_13ae36ea,1
berlin_0341f750,1
bb_3a1f3379,1
bb_c9bddef9,1
bb_d4122fe5,1
bb_4cdc42eb,1
bb_7a8caeca,1
bb_f220275d,2
bb_d67a1731,1
berlin_467fdc21,1
berlin_ae8b30f7,2
bb_0246c9f3,1
bb_1d9856cf,1
bb_32fed416,1
berlin_92246d67,1
bb_0977bb2c,1
bb_95e81100,1
bb_851fafbc,1
bb_88c5eaaf,1
bb_fc6642dd,1
berlin_881c5943,1
berlin_a16413ab,2
berlin_a4a62108,2
berlin_e51fa4bb,1
berlin_7b988cb7,1
berlin_3b96b09e,2
bb_8da542a5,1
berlin_0fa5b2d1,1
berlin_9f44e9d4,2
berlin_c95ec0db,2
berlin_e244ee27,1
