b0_effective_mode,scenario_effective_mode,transition_class,trips,share_of_compared_relevant_trips
TARGET_BUS,DRT_CONTAINING,target_bus_to_DRT,12,0.049586776859504134
TARGET_BUS,bike,target_bus_to_bike,2,0.008264462809917356
TARGET_BUS,car,target_bus_to_car,21,0.08677685950413223
TARGET_BUS,pt,target_bus_to_other_PT,42,0.17355371900826447
TARGET_BUS,ride,target_bus_to_other,10,0.04132231404958678
TARGET_BUS,walk,target_bus_to_walk,1,0.004132231404958678
bike,car,other_transition,2,0.008264462809917356
car,car,other_transition,2,0.008264462809917356
pt,DRT_CONTAINING,other_PT_to_DRT,3,0.012396694214876033
pt,car,other_transition,14,0.05785123966942149
pt,pt,other_transition,54,0.2231404958677686
pt,ride,other_transition,6,0.024793388429752067
ride,DRT_CONTAINING,other_mode_to_DRT,1,0.004132231404958678
ride,car,other_transition,5,0.02066115702479339
ride,pt,other_transition,1,0.004132231404958678
ride,ride,other_transition,10,0.04132231404958678
walk,bike,other_transition,2,0.008264462809917356
walk,car,other_transition,11,0.045454545454545456
walk,ride,other_transition,5,0.02066115702479339
walk,walk,other_transition,38,0.15702479338842976
