hour,compared_trips,target_line_trips,drt_containing_trips,mean_delta_journey_min,drt_wait_mean_min,drt_wait_p95_min
2,1,1,0,-56.6,,
3,1,1,1,-5.233333333333333,13.5,13.5
4,1,1,0,6.166666666666667,,
5,12,10,3,2.9930555555555554,27.20555555555556,41.42666666666667
6,13,7,0,-14.97820512820513,,
7,21,13,1,-2.6984126984126977,5.45,5.45
8,13,9,1,-9.596153846153847,1.15,1.15
9,6,2,1,-24.54444444444444,3.8,3.8
10,7,2,0,4.428571428571429,,
11,12,3,0,-2.99861111111111,,
12,17,4,0,-7.5019607843137255,,
13,13,6,2,-8.307692307692307,8.783333333333333,11.138333333333334
14,21,3,1,-5.351587301587302,30.216666666666665,30.216666666666665
15,30,5,2,-5.6288888888888895,13.875,25.447499999999998
16,21,10,1,-3.8174603174603177,5.933333333333334,5.933333333333334
17,19,7,3,-5.2368421052631575,12.005555555555555,20.279999999999998
18,19,2,0,-0.2385964912280701,,
19,6,2,0,-1.7472222222222225,,
20,5,0,0,-1.58,,
21,4,0,0,-82.19166666666666,,
