cohort,n,mean_delta_score,median_delta_score,p10_delta_score,p25_delta_score,p75_delta_score,p90_delta_score,share_better,share_worse,share_unchanged
all_matched,526111,0.02962118904927035,0.0,-0.21771880409097832,0.0,0.005932638712728533,0.343369715841618,0.35413439369258576,0.21911725852529218,0.426748347782122
baseline_target_line_riders,67,-4.678020757876972,-1.9835649080604014,-13.829886638191155,-8.14550039007861,-0.17368013556585282,1.1067896707428955,0.23880597014925373,0.7611940298507462,0.0
scenario_drt_users,12,-6.686483542338467,-6.330356266842038,-11.255462520915842,-8.915453666727196,-2.0789922945698365,-1.167998846544958,0.08333333333333333,0.9166666666666666,0.0
target_line_riders_using_drt,11,-7.350910659742948,-7.225154927736938,-11.279301855522093,-9.623938614304663,-3.755318839076466,-1.9835649080604014,0.0,1.0,0.0
target_line_riders_not_using_drt,56,-4.152988812867585,-1.4941579236911693,-13.964913863382677,-5.260706689554695,0.19903332411855956,1.4376880054205117,0.2857142857142857,0.7142857142857143,0.0
