source,mode,trips,share
B0,bike,269312,0.14798639223273655
B0,car,504496,0.2772195183870257
B0,freight,5459,0.002999709315583817
B0,pt,392980,0.21594170486135342
B0,ride,125280,0.06884110332594624
B0,truck,29528,0.016225575502941736
B0,walk,492788,0.27078599637441253
A4_FH,bike,268197,0.14737345907291058
A4_FH,car,503423,0.2766294510634416
A4_FH,drt,2,1.0989940907087742e-06
A4_FH,freight,5459,0.0029997043705895995
A4_FH,pt,395480,0.21731509149675302
A4_FH,pt_w_drt_used,14,7.69295863496142e-06
A4_FH,ride,124010,0.06814312859439754
A4_FH,truck,29527,0.01622499925817899
A4_FH,walk,493734,0.271305374191003
