source,metric,window1_mean,window2_mean,absolute_change,relative_change
scorestats,avg_executed,111.58248562346505,111.59294902747754,0.01046340401249779,9.377281706921759e-05
scorestats,avg_worst,111.22015445876896,111.19493415036932,-0.02522030839963918,-0.00022676023534015806
scorestats,avg_average,111.6113728014061,111.58507566057628,-0.026297140829825594,-0.00023561345201458087
scorestats,avg_best,111.89480243597852,111.87147543705468,-0.023326998923835163,-0.00020847258689412216
modestats,bike,0.1473896132654829,0.1472668882550137,-0.00012272501046919904,-0.000832657117080176
modestats,car,0.27603096682533035,0.27620740800831395,0.0001764411829835999,0.0006392079302292562
modestats,drt,6.813183921982192e-05,6.802221437795577e-05,-1.0962484186615004e-07,-0.0016090104585677523
modestats,freight,0.00299221005873699,0.00299221005873699,0.0,0.0
modestats,pt,0.21588727058261217,0.2158280731680045,-5.919741460766459e-05,-0.00027420521111740076
modestats,pt_w_drt_used,0.00025707025417615834,0.0002603041870112103,3.2339328350519344e-06,0.01257995735607695
modestats,ride,0.06845983674668549,0.06845912418521335,-7.125614721326112e-07,-1.0408459996322008e-05
modestats,truck,0.01620748474570325,0.01620748474570325,0.0,0.0
modestats,walk,0.2727074156820529,0.2727104851776251,3.069495572161074e-06,1.1255636611436231e-05
