cohort,n,mean_delta_score,median_delta_score,p10_delta_score,p25_delta_score,p75_delta_score,p90_delta_score,share_better,share_worse,share_unchanged
all_matched,526111,0.03526974157171577,0.0,-0.22316545053561754,-2.842170943040401e-14,0.005827626444812495,0.34528441883369965,0.35144674792961944,0.22115104987350578,0.4274022021968748
baseline_target_line_riders,1190,-5.3670114063154895,-3.72709508534259,-11.825830652656308,-7.303537431597835,-1.0668555237706698,0.121618180222074,0.11680672268907563,0.8831932773109243,0.0
scenario_drt_users,328,-7.1911473999666615,-6.480037484789804,-16.095405046780115,-10.426454249219702,-3.3054220290754763,-0.23379333310153333,0.08536585365853659,0.9146341463414634,0.0
target_line_riders_using_drt,289,-8.148433946142903,-7.127552719015483,-16.377427762110635,-10.838029799243927,-4.183562924697867,-1.9759494109831142,0.02422145328719723,0.9757785467128027,0.0
target_line_riders_not_using_drt,901,-4.474857006748192,-2.7732810734390796,-9.623555118777837,-5.7507024774111954,-0.704737548606019,0.4881546737510014,0.146503884572697,0.853496115427303,0.0
