cohort,n_trips,mean_delta_journey_min,median_delta_journey_min,p90_delta_journey_min,p95_delta_journey_min,share_journey_time_improved,b0_wait_mean_min,b0_wait_median_min,b0_wait_p90_min,b0_wait_p95_min,b0_wait_max_min,b0_wait_cv,b0_wait_gini,scenario_wait_mean_min,scenario_wait_median_min,scenario_wait_p90_min,scenario_wait_p95_min,scenario_wait_max_min,scenario_wait_cv,scenario_wait_gini,mean_delta_departure_min,mean_abs_departure_shift_min,mean_delta_trip_distance_km,mean_delta_wait_min,median_delta_wait_min
all_compared_relevant_trips,4877,0.8794545827352839,0.0,16.116666666666667,24.316666666666666,0.4096780807873693,4.5168033627229836,2.3,11.546666666666685,16.019999999999996,145.56666666666666,1.6173942085231041,0.6530348676314006,3.8693356571662916,0.0,13.110000000000037,19.45666666666666,141.0,2.034157601986479,0.7879684116408214,0.5768095140455147,8.382564418016567,0.20087020709452477,-0.6474677055566884,0.0
baseline_target_line_trips,1832,2.475682314410473,2.216666666666667,22.906666666666677,33.23583333333331,0.42958515283842796,7.360070960698693,5.533333333333333,14.79666666666667,18.82249999999999,145.56666666666666,1.1280082776952258,0.4520455453378327,6.414037481804947,1.7583333333333333,19.04666666666667,24.04083333333333,130.15,1.5431450829576456,0.6986935835687094,0.25743267831149935,8.211326419213965,0.4986381004366805,-0.9460334788937407,-2.0166666666666666
scenario_drt_containing_trips,594,8.939562289562284,7.85,24.88833333333334,31.466666666666676,0.24915824915824916,7.2726150392817095,5.458333333333334,15.611666666666668,20.314166666666672,80.11666666666666,1.0333140987750906,0.4944780422526993,13.942312008978655,11.958333333333332,24.808333333333337,31.656666666666673,141.0,0.812257254612257,0.3888634790257637,1.2136363636363636,7.433221099887771,1.9485286195286176,6.669696969696974,5.366666666666667
target_line_trips_using_drt,433,10.00508083140876,9.0,25.87,32.92333333333333,0.22632794457274827,8.055119322555809,6.283333333333333,16.283333333333335,19.623333333333324,53.06666666666667,0.8289947518131511,0.4155686043962632,15.071285604310992,13.416666666666666,26.06666666666667,33.273333333333326,74.05,0.6858169943519475,0.35395903278630336,0.750038491147036,7.449653579676676,2.6714526558891447,7.016166281755202,5.8
target_line_trips_not_using_drt,1399,0.14528234453180763,0.2,21.97,33.49666666666663,0.49249463902787705,7.144948772933055,5.3,14.073333333333334,18.70333333333333,145.56666666666666,1.2225428251933277,0.4623493890626762,3.7345604002859183,0.0,11.856666666666667,17.84833333333332,130.15,2.157117323913688,0.7955768160927887,0.1049678341672621,8.447069335239448,-0.1738627591136526,-3.410388372647123,-3.183333333333333
