scenario,case,road_vkt_km,road_travel_time_h,road_delay_h,link_traversals,unique_road_vehicles,emission_events,drt_regex_road_vkt_km,drt_regex_road_travel_time_h,drt_regex_road_delay_h,drt_regex_link_traversals,drt_regex_unique_road_vehicles,drt_regex_emission_events,drt_regex_vehicle_ids_detected,delta_road_vkt_km,relative_delta_road_vkt_km,delta_road_travel_time_h,relative_delta_road_travel_time_h,delta_road_delay_h,relative_delta_road_delay_h,delta_link_traversals,relative_delta_link_traversals,delta_unique_road_vehicles,relative_delta_unique_road_vehicles
A8_FM,A,10281761.755636014,1175929.4574900856,959090.9072400209,41969533.0,128377.0,0.0,839.4150799999985,94.70499999999998,76.1535208219787,3509.0,8.0,0.0,8.0,-41669.22036913037,-0.004036373223784085,-2502.375833125552,-0.002123479493988873,-1537.1862695959862,-0.0016001887514864744,-176746.0,-0.004193632372622979,-400.0,-0.0031061447308137324
B6_PTI,B,10284662.2999869,1177752.25971185,960593.9030300316,42040048.0,128607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38768.67601824552,-0.0037554061346809935,-679.5736113612073,-0.0005766762167691878,-34.190479585551664,-3.559179646791099e-05,-106231.0,-0.002520530934652618,-170.0,-0.001320111510595836
C22_PTI,C,10295899.090178097,1179120.5361001117,961730.9446929728,42096853.0,128721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27531.88582704775,-0.002666931748857564,688.7027769004926,0.0005844230929830972,1102.8511833556695,0.001148052186696358,-49426.0,-0.0011727251176788347,-56.0,-0.0004348602623139225
