b0_effective_mode,scenario_effective_mode,transition_class,trips,share_of_compared_relevant_trips
TARGET_BUS,DRT_CONTAINING,target_bus_to_DRT,11,0.045454545454545456
TARGET_BUS,car,target_bus_to_car,15,0.06198347107438017
TARGET_BUS,pt,target_bus_to_other_PT,41,0.16942148760330578
TARGET_BUS,ride,target_bus_to_other,19,0.07851239669421488
TARGET_BUS,walk,target_bus_to_walk,2,0.008264462809917356
bike,bike,other_transition,2,0.008264462809917356
car,car,other_transition,2,0.008264462809917356
pt,DRT_CONTAINING,other_PT_to_DRT,4,0.01652892561983471
pt,car,other_transition,14,0.05785123966942149
pt,pt,other_transition,49,0.2024793388429752
pt,ride,other_transition,9,0.0371900826446281
pt,walk,other_transition,1,0.004132231404958678
ride,car,other_transition,6,0.024793388429752067
ride,ride,other_transition,11,0.045454545454545456
walk,car,other_transition,7,0.028925619834710745
walk,ride,other_transition,7,0.028925619834710745
walk,walk,other_transition,42,0.17355371900826447
