hour,compared_trips,target_line_trips,drt_containing_trips,mean_delta_journey_min,drt_wait_mean_min,drt_wait_p95_min
2,1,1,0,-146.76666666666668,,
3,1,1,1,-6.233333333333333,13.5,13.5
4,1,1,0,-0.3,,
5,12,10,2,-0.9111111111111114,25.416666666666664,36.876666666666665
6,13,7,0,-8.091025641025643,,
7,21,13,1,-3.617460317460317,24.966666666666665,24.966666666666665
8,13,9,1,-1.5807692307692316,1.15,1.15
9,6,2,1,-17.566666666666666,34.11666666666667,34.11666666666667
10,7,2,0,1.2761904761904763,,
11,12,3,0,-8.475,,
12,17,4,0,-7.551960784313725,,
13,13,6,2,-9.998717948717948,22.933333333333334,30.523333333333333
14,21,3,1,-4.765079365079365,5.983333333333333,5.983333333333333
15,30,5,1,-7.928888888888888,14.983333333333333,14.983333333333333
16,21,10,2,-2.1507936507936503,21.933333333333334,38.98833333333333
17,19,7,2,-0.32719298245614015,14.741666666666665,24.499166666666664
18,19,2,1,-1.3728070175438594,12.933333333333334,12.933333333333334
19,6,2,0,-3.9194444444444447,,
20,5,0,0,-4.256666666666666,,
21,4,0,0,-82.475,,
