departures,bus_vkt_km,bus_passenger_km,bus_empty_vkt_km,boardings,case,unique_target_line_persons,passenger_carrying_departures,bus_empty_vkt_share,bus_distance_weighted_occupancy,route_boardings
42.0,948.5369096215892,716.7857171619473,520.2609319198756,89.0,A,67,32,0.5484878096387723,0.7556750927572264,"{""890---22435_6"": 3, ""890---22435_9"": 14, ""890---22435_5"": 16, ""890---22435_3"": 1, ""890---22435_7"": 7, ""890---22435_0"": 17, ""890---22435_8"": 9, ""890---22435_2"": 16, ""890---22435_1"": 5, ""890---22435_10"": 1}"
37.0,717.3305080662008,744.8706062847829,294.3986954409111,70.0,B,47,26,0.4104087197330547,1.0383924814418188,"{""435---31682_1"": 36, ""435---31682_0"": 34}"
127.0,1676.208229200089,11664.391832872405,322.1750025079503,1833.0,C,1190,109,0.19220464193860742,6.958796424975686,"{""X36---34541_0"": 98, ""X36---13155_0"": 6, ""X36---34541_13"": 1, ""X36---34541_17"": 9, ""X36---34541_9"": 5, ""X36---34541_15"": 18, ""X36---34541_11"": 12, ""X36---34541_8"": 26, ""X36---34541_3"": 624, ""X36---34541_7"": 332, ""X36---34541_4"": 18, ""X36---34541_2"": 10, ""X36---34541_1"": 270, ""X36---34541_16"": 37, ""X36---34541_19"": 44, ""X36---34541_12"": 154, ""X36---34541_6"": 119, ""X36---34541_18"": 7, ""X36---34541_14"": 11, ""X36---34541_5"": 32}"
