dimension,group,target_bus_trips,share_target_trips_using_drt,share_target_trips_to_car,mean_delta_journey_min,scenario_wait_mean_min,scenario_wait_p95_min,mean_delta_wait_min
income,high,13,0.3076923076923077,0.07692307692307693,-0.2282051282051281,12.461538461538462,40.97,-0.10128205128205127
income,low,45,0.06666666666666667,0.2222222222222222,-16.414444444444445,10.87962962962963,38.613333333333316,-12.118148148148148
income,middle,30,0.3,0.16666666666666666,-9.222222222222223,11.432777777777776,30.670833333333327,-4.316666666666666
age,25-44,33,0.15151515151515152,0.24242424242424243,-12.80909090909091,10.835858585858585,31.03333333333333,-7.752020202020203
age,45-64,26,0.15384615384615385,0.23076923076923078,-17.693589743589747,10.08974358974359,41.61666666666667,-10.539102564102564
age,65+,15,0.2,0.13333333333333333,-3.3544444444444435,11.577777777777778,26.56499999999999,-8.729999999999999
age,<25,14,0.2857142857142857,0.0,-6.088095238095237,14.35595238095238,40.44166666666666,-1.0964285714285726
gender,f,41,0.12195121951219512,0.24390243902439024,-10.503658536585366,12.173170731707316,40.15,-9.365040650406504
gender,m,47,0.23404255319148937,0.1276595744680851,-12.502836879432625,10.541843971631206,31.058333333333334,-6.216312056737589
car_availability,always,82,0.17073170731707318,0.1951219512195122,-12.467479674796744,11.169512195121957,39.553333333333356,-8.089024390243901
car_availability,never,6,0.3333333333333333,0.0,0.6750000000000007,13.111111111111112,34.80416666666666,-2.138888888888889
employment,false,25,0.2,0.12,-9.530666666666667,10.093333333333334,31.589999999999975,-9.768666666666666
employment,true,63,0.1746031746031746,0.20634920634920634,-12.381216931216926,11.781481481481485,40.87166666666666,-6.855820105820104
