hour,compared_trips,target_line_trips,drt_containing_trips,mean_delta_journey_min,drt_wait_mean_min,drt_wait_p95_min
2,1,1,0,-146.08333333333334,,
3,1,1,0,-34.65,,
4,1,1,0,6.166666666666667,,
5,12,10,4,-1.224999999999999,28.85,40.52
6,13,7,1,-13.862820512820518,21.95,21.95
7,21,13,5,-1.8857142857142861,25.256666666666668,37.529999999999994
8,13,9,1,-10.567948717948717,1.15,1.15
9,6,2,0,-20.141666666666666,,
10,7,2,0,6.095238095238095,,
11,12,3,0,-8.598611111111111,,
12,17,4,0,-7.351960784313725,,
13,13,6,2,-12.950000000000001,29.099999999999998,45.029999999999994
14,21,3,3,-6.659523809523808,11.044444444444444,12.611666666666668
15,30,5,2,-6.849999999999999,22.583333333333332,26.97833333333333
16,21,10,3,-4.178571428571428,16.75,37.50666666666667
17,19,7,3,-4.242105263157894,26.455555555555552,45.87333333333333
18,19,2,0,-5.349122807017544,,
19,6,2,0,-2.9111111111111114,,
20,5,0,0,0.24333333333333326,,
21,4,0,0,0.0,,
