dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
income,high,12,-0.620581317790973,-0.09840071098322767,-3.809079276562896,1.7040741403292332,0.4166666666666667,0.5833333333333334,0.3333333333333333
income,low,31,-7.560840122968911,-5.8923802950475945,-17.616800284897153,0.7865229465952268,0.16129032258064516,0.8387096774193549,0.12903225806451613
income,middle,24,-3.7239185760967466,-2.840778555144489,-9.960656722221335,1.9101249919642425,0.3333333333333333,0.6666666666666666,0.375
age,25-44,26,-5.131393459182795,-3.2442848154976147,-13.73194435333486,1.7430201934976708,0.2692307692307692,0.7307692307692307,0.23076923076923078
age,45-64,19,-6.686422065371005,-4.72485069521197,-17.94991849483882,1.9821767892975735,0.21052631578947367,0.7894736842105263,0.21052631578947367
age,65+,10,-0.977522515674653,-0.005772218371774329,-4.3182778476581305,0.9870500769288635,0.5,0.5,0.2
age,<25,12,-5.081132592858459,-2.37471605458866,-12.880477342099905,0.3049337610257455,0.16666666666666666,0.8333333333333334,0.4166666666666667
gender,f,31,-3.837652750200653,-3.067487376703099,-13.180591669930067,1.9531571818393871,0.3225806451612903,0.6774193548387096,0.1935483870967742
gender,m,36,-5.8955508387674875,-3.0175759939390048,-17.14691456709634,1.2230907823704626,0.2222222222222222,0.7777777777777778,0.3055555555555556
car_availability,always,61,-5.023881505177942,-3.067487376703099,-15.134050989813332,1.7458891106631995,0.2786885245901639,0.7213114754098361,0.22950819672131148
car_availability,never,6,-4.1250489393325696,-1.8031341764015494,-11.934597370459265,1.362584728863105,0.16666666666666666,0.8333333333333334,0.5
employment,false,19,-4.981163248876487,-1.681433397783067,-16.86498313641585,1.130464122361467,0.3157894736842105,0.6842105263157895,0.2631578947368421
employment,true,48,-4.92843674423326,-3.649775703295674,-14.468587411320069,1.7650373421409116,0.25,0.75,0.25
