scenario,case,role,fleet,capacity,service_hours,pricing_group,monetary_treatment,rq1_structural,rq2_design,rq3_distribution,target_riders::n,target_riders::mean_delta_score,target_riders::median_delta_score,target_riders::p10_delta_score,target_riders::p25_delta_score,target_riders::p75_delta_score,target_riders::p90_delta_score,target_riders::share_better,target_riders::share_worse,target_riders::share_unchanged,target_riders_using_drt::n,target_riders_using_drt::mean_delta_score,target_riders_using_drt::median_delta_score,target_riders_using_drt::p10_delta_score,target_riders_using_drt::p25_delta_score,target_riders_using_drt::p75_delta_score,target_riders_using_drt::p90_delta_score,target_riders_using_drt::share_better,target_riders_using_drt::share_worse,target_riders_using_drt::share_unchanged,all_agents::n,all_agents::mean_delta_score,all_agents::median_delta_score,all_agents::p10_delta_score,all_agents::p25_delta_score,all_agents::p75_delta_score,all_agents::p90_delta_score,all_agents::share_better,all_agents::share_worse,all_agents::share_unchanged,target_trips::n_trips,target_trips::mean_delta_journey_min,target_trips::median_delta_journey_min,target_trips::p90_delta_journey_min,target_trips::p95_delta_journey_min,target_trips::share_journey_time_improved,target_trips::b0_wait_mean_min,target_trips::b0_wait_median_min,target_trips::b0_wait_p90_min,target_trips::b0_wait_p95_min,target_trips::b0_wait_max_min,target_trips::b0_wait_cv,target_trips::b0_wait_gini,target_trips::scenario_wait_mean_min,target_trips::scenario_wait_median_min,target_trips::scenario_wait_p90_min,target_trips::scenario_wait_p95_min,target_trips::scenario_wait_max_min,target_trips::scenario_wait_cv,target_trips::scenario_wait_gini,target_trips::mean_delta_departure_min,target_trips::mean_abs_departure_shift_min,target_trips::mean_delta_trip_distance_km,target_trips::mean_delta_wait_min,target_trips::median_delta_wait_min,target_trips_using_drt::n_trips,target_trips_using_drt::mean_delta_journey_min,target_trips_using_drt::median_delta_journey_min,target_trips_using_drt::p90_delta_journey_min,target_trips_using_drt::p95_delta_journey_min,target_trips_using_drt::share_journey_time_improved,target_trips_using_drt::b0_wait_mean_min,target_trips_using_drt::b0_wait_median_min,target_trips_using_drt::b0_wait_p90_min,target_trips_using_drt::b0_wait_p95_min,target_trips_using_drt::b0_wait_max_min,target_trips_using_drt::b0_wait_cv,target_trips_using_drt::b0_wait_gini,target_trips_using_drt::scenario_wait_mean_min,target_trips_using_drt::scenario_wait_median_min,target_trips_using_drt::scenario_wait_p90_min,target_trips_using_drt::scenario_wait_p95_min,target_trips_using_drt::scenario_wait_max_min,target_trips_using_drt::scenario_wait_cv,target_trips_using_drt::scenario_wait_gini,target_trips_using_drt::mean_delta_departure_min,target_trips_using_drt::mean_abs_departure_shift_min,target_trips_using_drt::mean_delta_trip_distance_km,target_trips_using_drt::mean_delta_wait_min,target_trips_using_drt::median_delta_wait_min,drt_trips::n_trips,drt_trips::mean_delta_journey_min,drt_trips::median_delta_journey_min,drt_trips::p90_delta_journey_min,drt_trips::p95_delta_journey_min,drt_trips::share_journey_time_improved,drt_trips::b0_wait_mean_min,drt_trips::b0_wait_median_min,drt_trips::b0_wait_p90_min,drt_trips::b0_wait_p95_min,drt_trips::b0_wait_max_min,drt_trips::b0_wait_cv,drt_trips::b0_wait_gini,drt_trips::scenario_wait_mean_min,drt_trips::scenario_wait_median_min,drt_trips::scenario_wait_p90_min,drt_trips::scenario_wait_p95_min,drt_trips::scenario_wait_max_min,drt_trips::scenario_wait_cv,drt_trips::scenario_wait_gini,drt_trips::mean_delta_departure_min,drt_trips::mean_abs_departure_shift_min,drt_trips::mean_delta_trip_distance_km,drt_trips::mean_delta_wait_min,drt_trips::median_delta_wait_min,drt::served_requests,drt::rejected_requests,drt::rejection_rate,drt::wait_mean_sec,drt::drt_total_vkt_km,drt::drt_empty_vkt_km,drt::drt_occupied_vkt_km,drt::min_idle_vehicles,drt::mean_idle_vehicles,drt::pooling_rate,drt::sharing_factor,drt::empty_vkt_share,drt::drt_vkt_per_served_request_km,drt::served_requests_per_vehicle,baseline_bus::departures,baseline_bus::bus_vkt_km,baseline_bus::bus_passenger_km,baseline_bus::bus_empty_vkt_km,baseline_bus::boardings,baseline_bus::unique_target_line_persons,baseline_bus::passenger_carrying_departures,baseline_bus::bus_empty_vkt_share,baseline_bus::bus_distance_weighted_occupancy,baseline_bus::route_boardings,resource::DRT_VKT_to_removed_bus_VKT_ratio,resource::DRT_minus_removed_bus_VKT_km,resource::fleet_per_100_baseline_boardings,resource::nominal_fleet_seats_per_100_baseline_boardings,resource::DRT_VKT_per_baseline_boarding_km,target_transition_share::target_bus_to_DRT,target_transition_share::target_bus_to_bike,target_transition_share::target_bus_to_car,target_transition_share::target_bus_to_other,target_transition_share::target_bus_to_other_PT,target_transition_share::target_bus_to_walk,drt_origin_share::car_to_DRT,drt_origin_share::other_PT_to_DRT,drt_origin_share::target_bus_to_DRT,drt_origin_share::other_mode_to_DRT,network::road_vkt_km,network::road_travel_time_h,network::road_delay_h,network::link_traversals,network::unique_road_vehicles,network::emission_events,network::drt_regex_road_vkt_km,network::drt_regex_road_travel_time_h,network::drt_regex_road_delay_h,network::drt_regex_link_traversals,network::drt_regex_unique_road_vehicles,network::drt_regex_emission_events,network::drt_regex_vehicle_ids_detected,network::delta_road_vkt_km,network::relative_delta_road_vkt_km,network::delta_road_travel_time_h,network::relative_delta_road_travel_time_h,network::delta_road_delay_h,network::relative_delta_road_delay_h,network::delta_link_traversals,network::relative_delta_link_traversals,network::delta_unique_road_vehicles,network::relative_delta_unique_road_vehicles,drt_origin_share::active_mode_to_DRT
A8_FM,A,structural_control,8,4,,FM,PT integrated zero extra DRT surcharge,1,1,1,67,-5.337024017305106,-2.593557012395266,-17.15977483159309,-8.188415394699405,0.5155853814971394,4.1051653676918285,0.2835820895522388,0.7164179104477612,0.0,40,-3.1153907561890017,-2.0955795216404667,-8.036407205402622,-6.0047532492237545,1.3634196945859178,4.788078033386067,0.325,0.675,0.0,526111,0.0372960035585591,0.0,-0.22213657871996872,0.0,0.005846574597740073,0.351485230941023,0.3527677619361694,0.22005432313713266,0.427177914926698,88,-14.96950757575758,-6.550000000000002,7.916666666666664,15.674999999999983,0.7613636363636364,18.985227272727283,16.366666666666667,33.765,45.53749999999993,125.31666666666666,0.8901133288054567,0.4072036580565936,12.635416666666664,8.475,31.31166666666666,37.38166666666665,52.98333333333333,1.0649591240041891,0.5730548193468827,-2.515151515151516,9.685984848484848,0.043579545454545336,-6.349810606060606,-3.725,50,-6.065,-5.1,8.386666666666667,16.683333333333334,0.74,17.09733333333333,15.4,33.58833333333334,39.2475,51.88333333333333,0.6730738480150523,0.36512282617172254,19.56033333333333,18.108333333333334,34.59166666666667,39.75749999999999,52.98333333333333,0.6331495926071392,0.3513924438915492,-4.359666666666667,10.504999999999997,0.024859999999999945,2.462999999999999,4.458333333333333,143,-2.6517482517482525,-0.95,12.053333333333333,20.838333333333352,0.5944055944055944,11.672027972027974,7.9833333333333325,30.68333333333333,38.70500000000003,51.88333333333333,1.0984742672170895,0.5882858578922323,14.361888111888115,11.733333333333333,30.55333333333333,35.908333333333346,52.98333333333333,0.8280266251581713,0.4497401563743624,-2.2167832167832158,8.274825174825176,0.02435664335664359,2.6898601398601394,3.183333333333333,146.45,0.0,0.0,355.2085,847.1363275,174.95174300000005,860.1587615000003,8.0,8.0,0.5867917555103361,1.7127427077035038,0.2065213559148188,5.784474752475248,18.30625,42.0,948.5369096215892,716.7857171619472,520.2609319198756,89.0,67,32,0.5484878096387723,0.7556750927572264,"{""890---22435_6"": 3, ""890---22435_9"": 14, ""890---22435_5"": 16, ""890---22435_3"": 1, ""890---22435_7"": 7, ""890---22435_0"": 17, ""890---22435_8"": 9, ""890---22435_2"": 16, ""890---22435_1"": 5, ""890---22435_10"": 1}",0.8930979057398598,-101.4005821215892,8.98876404494382,35.95505617977528,9.51838570224719,0.5681818181818182,0.011363636363636364,0.125,0.17045454545454544,0.11363636363636365,0.011363636363636364,0.17482517482517482,0.2867132867132867,0.34965034965034963,0.04895104895104895,10281761.755636014,1175929.4574900856,959090.9072400208,41969533.0,128377.0,0.0,839.4150799999985,94.70499999999998,76.1535208219787,3509.0,8.0,0.0,8.0,-41669.22036913037,-0.004036373223784085,-2502.375833125552,-0.002123479493988873,-1537.1862695959862,-0.0016001887514864744,-176746.0,-0.004193632372622979,-400.0,-0.0031061447308137324,0.13986013986013987
A8_SUB1,A,policy_sensitivity,8,4,,SUB1,PT tariff plus EUR1 per DRT trip,0,1,1,67,-3.8358389233649097,-2.8213953403810166,-11.677906489112607,-7.743051587173184,0.2620783818415262,2.8660553678497114,0.2835820895522388,0.7164179104477612,0.0,27,-3.122688351818116,-4.014020063606806,-9.274631475579472,-6.5218545607607785,-0.786935006950678,4.1111064026382085,0.1851851851851852,0.8148148148148148,0.0,526111,0.05052278035267824,0.0,-0.20375626188402407,0.0,0.006024921709624209,0.3565174988403612,0.3550752597835818,0.2172716403952778,0.4276530998211404,88,-10.219696969696964,-4.65,16.531666666666666,18.77083333333333,0.6590909090909091,18.985227272727283,16.366666666666667,33.765,45.53749999999993,125.31666666666666,0.8901133288054567,0.4072036580565936,12.527651515151515,6.416666666666668,36.33333333333333,40.73666666666666,59.91666666666666,1.1866935656797242,0.6203003411186825,-3.592992424242424,9.69223484848485,0.5241931818181823,-6.4575757575757535,-4.816666666666666,34,-7.613725490196079,-5.125,16.171666666666667,17.365833333333335,0.7058823529411765,17.945588235294114,16.633333333333333,32.635,36.15666666666665,51.88333333333333,0.6349546473689842,0.34396154593936235,19.58823529411765,17.608333333333334,38.153333333333336,40.26083333333333,42.13333333333333,0.6382208639920666,0.3597200141317789,-4.057843137254902,9.469607843137254,-0.09491176470588243,1.6426470588235296,2.075,68,-8.332107843137253,-5.125,12.805000000000007,16.7825,0.6764705882352942,17.073774509803922,16.674999999999994,33.8,42.315833333333345,51.88333333333333,0.7743820491490268,0.43360725091345703,16.533823529411762,13.433333333333335,35.93666666666668,40.55583333333333,54.83333333333334,0.7679780014820237,0.4172012040607401,-1.8794117647058823,7.6078431372549025,-0.1832794117647058,-0.5399509803921573,0.7749999999999999,68.0,0.0,0.0,325.0575,507.128027,92.51805650000004,504.1641715000002,8.0,8.0,0.5022058823529412,1.647845291293086,0.1824353054342233,7.4577651029411784,8.5,42.0,948.5369096215892,716.7857171619472,520.2609319198756,89.0,67,32,0.5484878096387723,0.7556750927572264,"{""890---22435_6"": 3, ""890---22435_9"": 14, ""890---22435_5"": 16, ""890---22435_3"": 1, ""890---22435_7"": 7, ""890---22435_0"": 17, ""890---22435_8"": 9, ""890---22435_2"": 16, ""890---22435_1"": 5, ""890---22435_10"": 1}",0.5346423759116705,-441.4088826215892,8.98876404494382,35.95505617977528,5.6980677191011235,0.3863636363636364,,0.11363636363636365,0.19318181818181815,0.2840909090909091,0.022727272727272728,0.10294117647058823,0.35294117647058826,0.5,0.04411764705882353,,,,,,,,,,,,,,,,,,,,,,,,
A8_FL,A,caseA_design,8,4,,FL,priced DRT FL,0,1,1,67,-4.553773099604408,-1.6814333977830669,-12.227294203288706,-8.149486446243397,0.37606685324249867,1.4016805389212488,0.29850746268656714,0.7014925373134329,0.0,17,-5.19618547221217,-4.72485069521197,-10.812180016456145,-8.531742901889054,-1.157149521803177,0.2141764702796907,0.17647058823529413,0.8235294117647058,0.0,526111,0.03272057011115,0.0,-0.2259913539449201,0.0,0.0058012951399177845,0.3335865657185195,0.3516558292831741,0.22158061701808174,0.4267635536987442,88,-9.53768939393939,-2.825,18.473333333333333,27.299999999999976,0.6363636363636364,18.985227272727283,16.366666666666667,33.765,45.53749999999993,125.31666666666666,0.8901133288054567,0.4072036580565936,11.957575757575755,6.575,30.416666666666657,41.7175,90.93333333333334,1.3684392058114576,0.6534933246555776,-2.115719696969697,9.211931818181819,0.4367045454545451,-7.027651515151512,-4.016666666666667,17,-8.617647058823529,-4.95,12.783333333333335,17.59,0.7647058823529411,16.586274509803918,11.733333333333333,33.85333333333333,37.88333333333332,51.88333333333333,0.7845884167826496,0.3944006731431198,19.247058823529414,17.133333333333333,37.42,44.06666666666666,52.13333333333333,0.7214194712440641,0.3840668296658516,-6.8352941176470585,8.64313725490196,-0.3140000000000002,2.660784313725491,2.0,28,-14.208928571428574,-14.025,3.6950000000000065,14.533333333333326,0.8571428571428571,20.571428571428566,16.7,42.38333333333333,44.50416666666666,51.88333333333333,0.7208192176648357,0.3990203373015873,18.223214285714285,17.483333333333334,33.085,39.349166666666655,52.13333333333333,0.6891968490215,0.3744977951984321,-4.949404761904762,7.1125,-0.9883214285714284,-2.3482142857142856,-3.666666666666667,26.7,0.0,0.0,246.866,141.93512900000005,22.913897500000008,144.06392599999995,8.0,8.0,0.4405219780219781,1.4591993630713975,0.16143922693021268,5.31592243445693,3.3375,42.0,948.5369096215892,716.7857171619472,520.2609319198756,89.0,67,32,0.5484878096387723,0.7556750927572264,"{""890---22435_6"": 3, ""890---22435_9"": 14, ""890---22435_5"": 16, ""890---22435_3"": 1, ""890---22435_7"": 7, ""890---22435_0"": 17, ""890---22435_8"": 9, ""890---22435_2"": 16, ""890---22435_1"": 5, ""890---22435_10"": 1}",0.14963585239568997,-806.6017806215891,8.98876404494382,35.95505617977528,1.5947767303370792,0.19318181818181815,,0.18181818181818185,0.1590909090909091,0.4318181818181818,0.03409090909090909,,0.39285714285714285,0.6071428571428571,,,,,,,,,,,,,,,,,,,,,,,,,
A8_FH,A,caseA_design,8,4,,FH,priced DRT FH,0,1,1,67,-4.817547915153824,-2.1216479393453795,-12.886520370171805,-8.674018655172837,0.19042252787249225,1.6406228819945907,0.26865671641791045,0.7313432835820896,0.0,13,-8.670812576564881,-8.242893379490736,-17.38995146955793,-10.925859629553656,-5.308798527850968,-2.140891576718837,0.0,1.0,0.0,526111,0.04065501716470093,0.0,-0.220071936585029,0.0,0.005837175467675593,0.3394399473774285,0.35251876505148155,0.22040405921944228,0.42707717572907616,88,-11.057196969696967,-5.074999999999998,18.855,24.942499999999985,0.6477272727272727,18.985227272727283,16.366666666666667,33.765,45.53749999999993,125.31666666666666,0.8901133288054567,0.4072036580565936,11.402272727272727,4.491666666666666,33.62499999999999,40.79666666666665,72.75,1.3480567214701418,0.6600520352015273,-4.757575757575758,9.35909090909091,0.3647386363636364,-7.582954545454543,-5.341666666666667,14,-12.390476190476189,-5.591666666666668,6.611666666666676,11.804999999999998,0.7857142857142857,17.641666666666666,13.466666666666665,34.11833333333334,40.50833333333333,51.88333333333333,0.7809198734842624,0.3943826940317936,15.390476190476193,14.825,25.016666666666666,30.004166666666666,38.61666666666667,0.6563956536297654,0.3495292609618106,-8.63452380952381,12.839285714285715,-0.748857142857143,-2.2511904761904766,-2.033333333333333,18,-18.002777777777773,-8.591666666666667,3.4050000000000065,10.211666666666657,0.8333333333333334,21.03055555555556,17.591666666666665,37.74333333333335,46.52833333333333,51.88333333333333,0.6810963908977106,0.3681958936879024,15.82777777777778,14.825,26.29166666666667,29.97499999999999,38.61666666666667,0.610494077571712,0.3314418314418315,-5.8583333333333325,10.843518518518517,-2.0862777777777777,-5.202777777777778,-4.841666666666667,18.0,0.0,0.0,256.291,141.93913700000002,21.86592199999999,123.705455,8.0,8.0,0.11111111111111112,1.080074487895717,0.15405139457766318,7.8855076111111115,2.25,42.0,948.5369096215892,716.7857171619472,520.2609319198756,89.0,67,32,0.5484878096387723,0.7556750927572264,"{""890---22435_6"": 3, ""890---22435_9"": 14, ""890---22435_5"": 16, ""890---22435_3"": 1, ""890---22435_7"": 7, ""890---22435_0"": 17, ""890---22435_8"": 9, ""890---22435_2"": 16, ""890---22435_1"": 5, ""890---22435_10"": 1}",0.14964007785066102,-806.5977726215892,8.98876404494382,35.95505617977528,1.594821764044944,0.1590909090909091,,0.1590909090909091,0.2272727272727273,0.4431818181818182,0.011363636363636364,,0.2222222222222222,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,
