scenario,case,role,fleet,capacity,service_hours,pricing_group,monetary_treatment,rq1_structural,rq2_design,rq3_distribution,target_riders::n,target_riders::mean_delta_score,target_riders::median_delta_score,target_riders::p10_delta_score,target_riders::p25_delta_score,target_riders::p75_delta_score,target_riders::p90_delta_score,target_riders::share_better,target_riders::share_worse,target_riders::share_unchanged,target_riders_using_drt::n,target_riders_using_drt::mean_delta_score,target_riders_using_drt::median_delta_score,target_riders_using_drt::p10_delta_score,target_riders_using_drt::p25_delta_score,target_riders_using_drt::p75_delta_score,target_riders_using_drt::p90_delta_score,target_riders_using_drt::share_better,target_riders_using_drt::share_worse,target_riders_using_drt::share_unchanged,all_agents::n,all_agents::mean_delta_score,all_agents::median_delta_score,all_agents::p10_delta_score,all_agents::p25_delta_score,all_agents::p75_delta_score,all_agents::p90_delta_score,all_agents::share_better,all_agents::share_worse,all_agents::share_unchanged,target_trips::n_trips,target_trips::mean_delta_journey_min,target_trips::median_delta_journey_min,target_trips::p90_delta_journey_min,target_trips::p95_delta_journey_min,target_trips::share_journey_time_improved,target_trips::b0_wait_mean_min,target_trips::b0_wait_median_min,target_trips::b0_wait_p90_min,target_trips::b0_wait_p95_min,target_trips::b0_wait_max_min,target_trips::b0_wait_cv,target_trips::b0_wait_gini,target_trips::scenario_wait_mean_min,target_trips::scenario_wait_median_min,target_trips::scenario_wait_p90_min,target_trips::scenario_wait_p95_min,target_trips::scenario_wait_max_min,target_trips::scenario_wait_cv,target_trips::scenario_wait_gini,target_trips::mean_delta_departure_min,target_trips::mean_abs_departure_shift_min,target_trips::mean_delta_trip_distance_km,target_trips::mean_delta_wait_min,target_trips::median_delta_wait_min,target_trips_using_drt::n_trips,target_trips_using_drt::mean_delta_journey_min,target_trips_using_drt::median_delta_journey_min,target_trips_using_drt::p90_delta_journey_min,target_trips_using_drt::p95_delta_journey_min,target_trips_using_drt::share_journey_time_improved,target_trips_using_drt::b0_wait_mean_min,target_trips_using_drt::b0_wait_median_min,target_trips_using_drt::b0_wait_p90_min,target_trips_using_drt::b0_wait_p95_min,target_trips_using_drt::b0_wait_max_min,target_trips_using_drt::b0_wait_cv,target_trips_using_drt::b0_wait_gini,target_trips_using_drt::scenario_wait_mean_min,target_trips_using_drt::scenario_wait_median_min,target_trips_using_drt::scenario_wait_p90_min,target_trips_using_drt::scenario_wait_p95_min,target_trips_using_drt::scenario_wait_max_min,target_trips_using_drt::scenario_wait_cv,target_trips_using_drt::scenario_wait_gini,target_trips_using_drt::mean_delta_departure_min,target_trips_using_drt::mean_abs_departure_shift_min,target_trips_using_drt::mean_delta_trip_distance_km,target_trips_using_drt::mean_delta_wait_min,target_trips_using_drt::median_delta_wait_min,drt_trips::n_trips,drt_trips::mean_delta_journey_min,drt_trips::median_delta_journey_min,drt_trips::p90_delta_journey_min,drt_trips::p95_delta_journey_min,drt_trips::share_journey_time_improved,drt_trips::b0_wait_mean_min,drt_trips::b0_wait_median_min,drt_trips::b0_wait_p90_min,drt_trips::b0_wait_p95_min,drt_trips::b0_wait_max_min,drt_trips::b0_wait_cv,drt_trips::b0_wait_gini,drt_trips::scenario_wait_mean_min,drt_trips::scenario_wait_median_min,drt_trips::scenario_wait_p90_min,drt_trips::scenario_wait_p95_min,drt_trips::scenario_wait_max_min,drt_trips::scenario_wait_cv,drt_trips::scenario_wait_gini,drt_trips::mean_delta_departure_min,drt_trips::mean_abs_departure_shift_min,drt_trips::mean_delta_trip_distance_km,drt_trips::mean_delta_wait_min,drt_trips::median_delta_wait_min,drt::served_requests,drt::rejected_requests,drt::rejection_rate,drt::wait_mean_sec,drt::drt_total_vkt_km,drt::drt_empty_vkt_km,drt::drt_occupied_vkt_km,drt::min_idle_vehicles,drt::mean_idle_vehicles,drt::pooling_rate,drt::sharing_factor,drt::empty_vkt_share,drt::drt_vkt_per_served_request_km,drt::served_requests_per_vehicle,baseline_bus::departures,baseline_bus::bus_vkt_km,baseline_bus::bus_passenger_km,baseline_bus::bus_empty_vkt_km,baseline_bus::boardings,baseline_bus::unique_target_line_persons,baseline_bus::passenger_carrying_departures,baseline_bus::bus_empty_vkt_share,baseline_bus::bus_distance_weighted_occupancy,baseline_bus::route_boardings,resource::DRT_VKT_to_removed_bus_VKT_ratio,resource::DRT_minus_removed_bus_VKT_km,resource::fleet_per_100_baseline_boardings,resource::nominal_fleet_seats_per_100_baseline_boardings,resource::DRT_VKT_per_baseline_boarding_km,target_transition_share::target_bus_to_DRT,target_transition_share::target_bus_to_bike,target_transition_share::target_bus_to_car,target_transition_share::target_bus_to_other,target_transition_share::target_bus_to_other_PT,target_transition_share::target_bus_to_walk,drt_origin_share::car_to_DRT,drt_origin_share::other_PT_to_DRT,drt_origin_share::target_bus_to_DRT,drt_origin_share::other_mode_to_DRT,network::road_vkt_km,network::road_travel_time_h,network::road_delay_h,network::link_traversals,network::unique_road_vehicles,network::emission_events,network::drt_regex_road_vkt_km,network::drt_regex_road_travel_time_h,network::drt_regex_road_delay_h,network::drt_regex_link_traversals,network::drt_regex_unique_road_vehicles,network::drt_regex_emission_events,network::drt_regex_vehicle_ids_detected,network::delta_road_vkt_km,network::relative_delta_road_vkt_km,network::delta_road_travel_time_h,network::relative_delta_road_travel_time_h,network::delta_road_delay_h,network::relative_delta_road_delay_h,network::delta_link_traversals,network::relative_delta_link_traversals,network::delta_unique_road_vehicles,network::relative_delta_unique_road_vehicles,drt_origin_share::active_mode_to_DRT
A4_FH,A,caseA_design,4,4,,FH,priced DRT FH,0,1,1,67,-4.678020757876972,-1.9835649080604012,-13.829886638191153,-8.14550039007861,-0.17368013556585282,1.1067896707428957,0.2388059701492537,0.7611940298507462,0.0,11,-7.350910659742948,-7.225154927736938,-11.27930185552209,-9.623938614304665,-3.7553188390764665,-1.9835649080604012,0.0,1.0,0.0,526111,0.02962118904927035,0.0,-0.21771880409097832,0.0,0.005932638712728533,0.34336971584161796,0.35413439369258576,0.21911725852529215,0.42674834778212206,88,-9.28617424242424,-2.975,21.40333333333332,30.09166666666664,0.6363636363636364,18.985227272727283,16.366666666666667,33.765,45.53749999999993,125.31666666666666,0.8901133288054567,0.4072036580565936,11.322348484848485,3.933333333333333,35.96833333333333,41.81499999999999,81.2,1.3998802645143997,0.6779256297882303,-1.537689393939394,9.455113636363636,0.2764999999999997,-7.662878787878785,-5.6083333333333325,12,-15.927777777777774,-7.800000000000002,9.353333333333335,13.13333333333333,0.75,17.23055555555555,11.566666666666665,34.295,42.25833333333333,51.88333333333333,0.8795951632221028,0.4412515449513679,12.802777777777779,6.050000000000002,33.13833333333334,37.94666666666666,42.2,1.0348449147208496,0.500307369639112,-5.568055555555556,10.884722222222221,-0.8209166666666666,-4.427777777777777,-2.1416666666666666,16,-19.405208333333334,-17.291666666666664,6.833333333333332,11.733333333333333,0.75,19.808333333333326,13.466666666666665,39.98333333333333,47.15833333333333,51.88333333333333,0.8221281553146328,0.4430808266722759,13.937500000000002,8.783333333333333,32.34166666666667,36.40000000000001,42.2,0.9352059064262414,0.4870795964125561,-4.632291666666667,8.619791666666666,-2.404625,-5.870833333333334,-2.1416666666666666,16.15,0.0,0.0,255.044,145.83587200000005,30.0624125,121.44554099999999,4.0,4.0,0.14154411764705882,1.1113710306561762,0.2061386686809127,9.030084953560372,4.0375,42.0,948.5369096215892,716.7857171619472,520.2609319198756,89.0,67,32,0.5484878096387723,0.7556750927572264,"{""890---22435_6"": 3, ""890---22435_9"": 14, ""890---22435_5"": 16, ""890---22435_3"": 1, ""890---22435_7"": 7, ""890---22435_0"": 17, ""890---22435_8"": 9, ""890---22435_2"": 16, ""890---22435_1"": 5, ""890---22435_10"": 1}",0.15374823111330485,-802.7010376215892,4.49438202247191,17.97752808988764,1.638605303370787,0.13636363636363635,0.022727272727272728,0.23863636363636365,0.11363636363636365,0.4772727272727273,0.011363636363636364,,0.1875,0.75,0.0625,,,,,,,,,,,,,,,,,,,,,,,,
A8_FH,A,caseA_design,8,4,,FH,priced DRT FH,0,1,1,67,-4.817547915153824,-2.1216479393453795,-12.886520370171805,-8.674018655172837,0.19042252787249225,1.6406228819945907,0.26865671641791045,0.7313432835820896,0.0,13,-8.670812576564881,-8.242893379490736,-17.38995146955793,-10.925859629553656,-5.308798527850968,-2.140891576718837,0.0,1.0,0.0,526111,0.04065501716470093,0.0,-0.220071936585029,0.0,0.005837175467675593,0.3394399473774285,0.35251876505148155,0.22040405921944228,0.42707717572907616,88,-11.057196969696967,-5.074999999999998,18.855,24.942499999999985,0.6477272727272727,18.985227272727283,16.366666666666667,33.765,45.53749999999993,125.31666666666666,0.8901133288054567,0.4072036580565936,11.402272727272727,4.491666666666666,33.62499999999999,40.79666666666665,72.75,1.3480567214701418,0.6600520352015273,-4.757575757575758,9.35909090909091,0.3647386363636364,-7.582954545454543,-5.341666666666667,14,-12.390476190476189,-5.591666666666668,6.611666666666676,11.804999999999998,0.7857142857142857,17.641666666666666,13.466666666666665,34.11833333333334,40.50833333333333,51.88333333333333,0.7809198734842624,0.3943826940317936,15.390476190476193,14.825,25.016666666666666,30.004166666666666,38.61666666666667,0.6563956536297654,0.3495292609618106,-8.63452380952381,12.839285714285715,-0.748857142857143,-2.2511904761904766,-2.033333333333333,18,-18.002777777777773,-8.591666666666667,3.4050000000000065,10.211666666666657,0.8333333333333334,21.03055555555556,17.591666666666665,37.74333333333335,46.52833333333333,51.88333333333333,0.6810963908977106,0.3681958936879024,15.82777777777778,14.825,26.29166666666667,29.97499999999999,38.61666666666667,0.610494077571712,0.3314418314418315,-5.8583333333333325,10.843518518518517,-2.0862777777777777,-5.202777777777778,-4.841666666666667,18.0,0.0,0.0,256.291,141.93913700000002,21.86592199999999,123.705455,8.0,8.0,0.11111111111111112,1.080074487895717,0.15405139457766318,7.8855076111111115,2.25,42.0,948.5369096215892,716.7857171619472,520.2609319198756,89.0,67,32,0.5484878096387723,0.7556750927572264,"{""890---22435_6"": 3, ""890---22435_9"": 14, ""890---22435_5"": 16, ""890---22435_3"": 1, ""890---22435_7"": 7, ""890---22435_0"": 17, ""890---22435_8"": 9, ""890---22435_2"": 16, ""890---22435_1"": 5, ""890---22435_10"": 1}",0.14964007785066102,-806.5977726215892,8.98876404494382,35.95505617977528,1.594821764044944,0.1590909090909091,,0.1590909090909091,0.2272727272727273,0.4431818181818182,0.011363636363636364,,0.2222222222222222,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,
A12_FH,A,caseA_design,12,4,,FH,priced DRT FH,0,1,1,67,-5.622703814969231,-3.390610435469469,-13.67083662804989,-9.330616772447598,0.0614177454421494,1.6413453566409144,0.2537313432835821,0.746268656716418,0.0,11,-8.077116788277483,-8.856608558763382,-13.545867317497196,-12.339603959274891,-4.283081965991598,-2.1152231492616664,0.09090909090909093,0.9090909090909092,0.0,526111,0.015784946769450924,0.0,-0.21590601408698265,0.0,0.00595353196526105,0.3445617376252983,0.3544233061084068,0.2186762869432496,0.4269004069483436,88,-8.679166666666665,-0.05,19.399999999999995,28.501666666666626,0.5568181818181818,18.985227272727283,16.366666666666667,33.765,45.53749999999993,125.31666666666666,0.8901133288054567,0.4072036580565936,12.58125,3.983333333333333,36.35333333333333,46.11166666666664,73.03333333333333,1.3587923760490297,0.6694900844236975,-6.419128787878788,11.220265151515152,0.9073181818181818,-6.403977272727269,-5.408333333333332,11,-7.216666666666668,-0.016666666666666666,9.983333333333333,13.15,0.5454545454545454,17.509090909090904,15.2,34.38333333333333,43.13333333333333,51.88333333333333,0.8062531594853762,0.3852701469523901,20.843939393939394,24.966666666666665,38.15,39.516666666666666,40.88333333333333,0.7021348689875064,0.38018331163639,-2.824242424242424,4.5575757575757585,-1.2106363636363635,3.3348484848484854,-1.7,15,-14.844444444444445,-6.2333333333333325,9.956666666666663,11.883333333333326,0.6666666666666666,21.17111111111111,16.966666666666665,41.10333333333333,47.47333333333333,51.88333333333333,0.6798430366513731,0.35998740421958675,18.512222222222224,14.5,36.536666666666655,38.97,40.88333333333333,0.7099667760393857,0.3870115839385391,-2.395555555555555,5.92,-2.3622,-2.6588888888888884,-7.15,15.0,0.0,0.0,136.6565,101.80014400000003,7.298339999999999,101.95745900000004,12.0,12.0,0.26666666666666666,1.1619491883355022,0.07169282589619909,6.786676266666668,1.25,42.0,948.5369096215892,716.7857171619472,520.2609319198756,89.0,67,32,0.5484878096387723,0.7556750927572264,"{""890---22435_6"": 3, ""890---22435_9"": 14, ""890---22435_5"": 16, ""890---22435_3"": 1, ""890---22435_7"": 7, ""890---22435_0"": 17, ""890---22435_8"": 9, ""890---22435_2"": 16, ""890---22435_1"": 5, ""890---22435_10"": 1}",0.10732333446108316,-846.7367656215891,13.48314606741573,53.93258426966292,1.1438218426966296,0.125,,0.17045454545454544,0.2159090909090909,0.4659090909090909,0.022727272727272728,,0.26666666666666666,0.7333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
