source,metric,window1_mean,window2_mean,absolute_change,relative_change
scorestats,avg_executed,111.59812748445252,111.59809361620837,-3.386824414519651e-05,-3.034839822909656e-07
scorestats,avg_worst,111.26365767424963,111.23071012853859,-0.032947545711039083,-0.0002961213607366812
scorestats,avg_average,111.63449972895424,111.6046601450046,-0.029839583949637927,-0.0002672971529597722
scorestats,avg_best,111.90811968025446,111.88524908675068,-0.02287059350378229,-0.00020436938417988336
modestats,bike,0.14731309512586024,0.14722813587341405,-8.49592524461984e-05,-0.0005767257308225827
modestats,car,0.2756124739915063,0.2756951859346943,8.271194318798525e-05,0.00030010232116901294
modestats,drt,2.8831333410801557e-05,2.9489082461998555e-05,6.577490511969985e-07,0.022813688212927924
modestats,freight,0.00299221005873699,0.00299221005873699,0.0,0.0
modestats,pt,0.21690168405682075,0.21691851147004723,1.682741322647785e-05,7.758083253087905e-05
modestats,pt_w_drt_used,5.289398620042491e-05,5.152367567709783e-05,-1.3703105233270788e-06,-0.025906735751295498
modestats,ride,0.06826366309216599,0.06825429016818643,-9.372923979553138e-06,-0.00013730473219549194
modestats,truck,0.01620748474570325,0.01620748474570325,0.0,0.0
modestats,walk,0.2726276636095952,0.27262316899107875,-4.4946185164818075e-06,-1.6486289237757373e-05
