source,mode,trips,share
B0,bike,269312,0.14798639223273655
B0,car,504496,0.2772195183870257
B0,freight,5459,0.002999709315583817
B0,pt,392980,0.21594170486135342
B0,ride,125280,0.06884110332594624
B0,truck,29528,0.016225575502941736
B0,walk,492788,0.27078599637441253
A4_FL,bike,268440,0.14750666263703052
A4_FL,car,503317,0.2765705964777317
A4_FL,drt,5,2.747479187845152e-06
A4_FL,freight,5459,0.002999697777289337
A4_FL,pt,395265,0.2171964722367228
A4_FL,pt_w_drt_used,25,1.3737395939225761e-05
A4_FL,ride,124151,0.0682204577300327
A4_FL,truck,29528,0.01622551309173833
A4_FL,walk,493660,0.2712641151743276
