hour,compared_trips,target_line_trips,drt_containing_trips,mean_delta_journey_min,drt_wait_mean_min,drt_wait_p95_min
2,1,1,0,-56.6,,
3,1,1,1,-6.233333333333333,13.5,13.5
4,1,1,0,6.166666666666667,,
5,12,10,4,-1.6152777777777778,26.21666666666667,36.73916666666666
6,14,7,1,-0.6476190476190468,3.716666666666667,3.716666666666667
7,22,13,5,-0.042424242424242274,26.51,49.20333333333333
8,13,9,1,-7.667948717948717,1.15,1.15
9,6,2,1,-20.258333333333333,17.85,17.85
10,7,2,0,2.280952380952381,,
11,12,3,0,-1.5874999999999997,,
12,18,4,0,-2.537962962962963,,
13,13,6,4,-11.99230769230769,24.062500000000004,51.34666666666666
14,21,3,2,-9.308730158730159,9.108333333333334,10.525833333333333
15,31,5,3,-2.7408602150537633,18.166666666666668,28.78666666666667
16,22,10,4,-4.140151515151515,14.379166666666665,36.45083333333332
17,21,7,3,-2.253174603174603,14.988888888888889,30.394999999999996
18,20,2,1,-3.0308333333333333,14.816666666666666,14.816666666666666
19,6,2,0,-5.033333333333333,,
20,5,0,0,-2.2233333333333336,,
21,4,0,0,0.06666666666666667,,
