source,metric,window1_mean,window2_mean,absolute_change,relative_change
scorestats,avg_executed,111.60954727777934,111.6055201655849,-0.004027112194435745,-3.6082147922461055e-05
scorestats,avg_worst,111.2467489592439,111.21942898564983,-0.02731997359407501,-0.0002455799728950631
scorestats,avg_average,111.63362918738908,111.60744729954529,-0.02618188784379072,-0.00023453405604006297
scorestats,avg_best,111.90642745662895,111.88413122849977,-0.02229622812917853,-0.0001992399242467085
modestats,bike,0.14743878000705984,0.14735782206134168,-8.095794571816306e-05,-0.0005490953310539231
modestats,car,0.2757616734012861,0.27589015371595327,0.00012848031466716758,0.00046591070137656185
modestats,drt,2.9598707303864716e-06,2.7406210466541402e-06,-2.1924968373233142e-07,-0.07407407407407414
modestats,freight,0.00299221005873699,0.00299221005873699,0.0,0.0
modestats,pt,0.2167120878928132,0.21669306798274945,-1.9019910063755585e-05,-8.776580138512125e-05
modestats,pt_w_drt_used,1.233279470994363e-05,1.2826106498341376e-05,4.933117883977463e-07,0.04000000000000009
modestats,ride,0.06830504646997046,0.06827468038877353,-3.0366081196928074e-05,-0.0004445657058483692
modestats,truck,0.01620748474570325,0.01620748474570325,0.0,0.0
modestats,walk,0.27256742475898976,0.27256901431919683,1.589560207071461e-06,5.831805500884729e-06
