b0_effective_mode,scenario_effective_mode,transition_class,trips,share_of_compared_relevant_trips
TARGET_BUS,DRT_CONTAINING,target_bus_to_DRT,17,0.06827309236947791
TARGET_BUS,car,target_bus_to_car,16,0.0642570281124498
TARGET_BUS,pt,target_bus_to_other_PT,38,0.15261044176706828
TARGET_BUS,ride,target_bus_to_other,14,0.05622489959839357
TARGET_BUS,walk,target_bus_to_walk,3,0.012048192771084338
bike,bike,other_transition,2,0.008032128514056224
car,car,other_transition,2,0.008032128514056224
pt,DRT_CONTAINING,other_PT_to_DRT,11,0.04417670682730924
pt,car,other_transition,15,0.060240963855421686
pt,pt,other_transition,53,0.21285140562248997
pt,ride,other_transition,2,0.008032128514056224
ride,car,other_transition,6,0.024096385542168676
ride,pt,other_transition,2,0.008032128514056224
ride,ride,other_transition,9,0.03614457831325301
walk,car,other_transition,6,0.024096385542168676
walk,ride,other_transition,3,0.012048192771084338
walk,walk,other_transition,50,0.20080321285140562
