cohort,n,mean_delta_score,median_delta_score,p10_delta_score,p25_delta_score,p75_delta_score,p90_delta_score,share_better,share_worse,share_unchanged
all_matched,526111,0.032720570111149996,0.0,-0.2259913539449201,0.0,0.005801295139917784,0.3335865657185195,0.35165582928317407,0.22158061701808174,0.4267635536987442
baseline_target_line_riders,67,-4.553773099604408,-1.681433397783067,-12.227294203288704,-8.149486446243397,0.37606685324249867,1.4016805389212488,0.29850746268656714,0.7014925373134329,0.0
scenario_drt_users,20,-4.223118230842197,-2.747741897980532,-10.279629583465027,-7.958358218420569,0.09617299307651805,0.8685009403997342,0.3,0.7,0.0
target_line_riders_using_drt,17,-5.19618547221217,-4.72485069521197,-10.812180016456143,-8.531742901889054,-1.157149521803177,0.2141764702796907,0.17647058823529413,0.8235294117647058,0.0
target_line_riders_not_using_drt,50,-4.335352892917769,-1.4192987810786448,-12.370366789745402,-7.071692635335868,0.5064213964765827,1.683686757320666,0.34,0.66,0.0
