cohort,n_trips,mean_delta_journey_min,median_delta_journey_min,p90_delta_journey_min,p95_delta_journey_min,share_journey_time_improved,b0_wait_mean_min,b0_wait_median_min,b0_wait_p90_min,b0_wait_p95_min,b0_wait_max_min,b0_wait_cv,b0_wait_gini,scenario_wait_mean_min,scenario_wait_median_min,scenario_wait_p90_min,scenario_wait_p95_min,scenario_wait_max_min,scenario_wait_cv,scenario_wait_gini,mean_delta_departure_min,mean_abs_departure_shift_min,mean_delta_trip_distance_km,mean_delta_wait_min,median_delta_wait_min
all_compared_relevant_trips,249,-6.33560910307898,0.0,9.876666666666669,17.873333333333328,0.4859437751004016,11.586479250334666,5.816666666666666,29.523333333333355,40.46999999999999,125.31666666666666,1.3306447618159074,0.6333535317454959,7.43380187416332,0.0,22.673333333333357,32.02999999999999,90.93333333333334,1.7287857122521442,0.7472940175537237,-0.9925033467202141,9.102275769745646,0.04606425702811238,-4.152677376171354,0.0
baseline_target_line_trips,88,-9.53768939393939,-2.825,18.473333333333333,27.299999999999976,0.6363636363636364,18.985227272727276,16.366666666666667,33.765,45.53749999999994,125.31666666666666,0.8901133288054567,0.40720365805659364,11.957575757575757,6.575,30.416666666666657,41.717499999999994,90.93333333333334,1.3684392058114576,0.6534933246555776,-2.115719696969697,9.21193181818182,0.4367045454545451,-7.027651515151513,-4.016666666666667
scenario_drt_containing_trips,28,-14.208928571428574,-14.025,3.695000000000006,14.533333333333324,0.8571428571428571,20.571428571428566,16.7,42.38333333333333,44.50416666666666,51.88333333333333,0.7208192176648357,0.39902033730158726,18.223214285714285,17.483333333333334,33.085,39.349166666666655,52.13333333333333,0.6891968490215,0.37449779519843207,-4.949404761904762,7.1125,-0.9883214285714285,-2.3482142857142856,-3.666666666666667
target_line_trips_using_drt,17,-8.617647058823529,-4.95,12.783333333333335,17.59,0.7647058823529411,16.586274509803918,11.733333333333333,33.85333333333333,37.88333333333332,51.88333333333333,0.7845884167826496,0.3944006731431198,19.247058823529414,17.133333333333333,37.42,44.06666666666666,52.13333333333333,0.721419471244064,0.3840668296658516,-6.835294117647059,8.64313725490196,-0.3140000000000002,2.660784313725491,2.0
target_line_trips_not_using_drt,71,-9.757981220657275,-2.316666666666667,18.8,29.733333333333334,0.6056338028169014,19.55962441314554,16.966666666666665,32.7,44.525,125.31666666666666,0.9066568583682836,0.4060291372352014,10.212206572769954,2.15,29.2,39.725,90.93333333333334,1.61710236571488,0.7163440370061489,-0.9856807511737089,9.3481220657277,0.616450704225352,-9.347417840375586,-5.5
