source,mode,trips,share
B0,bike,269312,0.14798639223273655
B0,car,504496,0.2772195183870257
B0,freight,5459,0.002999709315583817
B0,pt,392980,0.21594170486135342
B0,ride,125280,0.06884110332594624
B0,truck,29528,0.016225575502941736
B0,walk,492788,0.27078599637441253
A8_FL,bike,268335,0.14744977580446633
A8_FL,car,503352,0.27659134868999474
A8_FL,drt,2,1.0989977140847547e-06
A8_FL,freight,5459,0.002999714260594338
A8_FL,pt,395092,0.21710260242658697
A8_FL,pt_w_drt_used,26,1.4286970283101811e-05
A8_FL,ride,124380,0.0683466678389309
A8_FL,truck,29526,0.016224503253033234
A8_FL,walk,493668,0.27127000175839633
