dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
income,high,12,-0.5694694051286587,0.1850233301636166,-4.554005066439859,1.6970652668892998,0.5,0.5,0.25
income,low,31,-6.286363357243713,-3.316282236728469,-16.40165513910651,1.006215669288693,0.2903225806451613,0.7096774193548387,0.12903225806451613
income,middle,24,-4.307995864058182,-2.717373090646163,-10.084759962538369,0.36584731362380846,0.20833333333333334,0.7916666666666666,0.4166666666666667
age,25-44,26,-5.32868977523682,-3.15502751208642,-10.960775477570479,0.30830192251785604,0.19230769230769232,0.8076923076923077,0.34615384615384615
age,45-64,19,-5.710875786182144,-4.72485069521197,-13.640234091228127,1.9821767892975735,0.3684210526315789,0.631578947368421,0.10526315789473684
age,65+,10,-0.13729307595719292,0.06112777670074365,-1.7220351178027,1.3536413376962937,0.5,0.5,0.3
age,<25,12,-4.7231077350254465,-1.71904618267898,-12.609514450348975,0.8999946933157349,0.25,0.75,0.25
gender,f,31,-3.549139109214582,-1.606113013456138,-12.153381302794827,1.6177253379168235,0.3548387096774194,0.6451612903225806,0.12903225806451613
gender,m,36,-5.418874591328979,-1.8844419978812326,-14.13946801077244,0.9085582387648117,0.25,0.75,0.3611111111111111
car_availability,always,61,-4.730471938069046,-2.087450597979398,-12.153381302794827,1.2576506729241999,0.29508196721311475,0.7049180327868853,0.2459016393442623
car_availability,never,6,-2.7573349085472523,-0.28041927131619815,-9.709024773298687,1.7174393189731276,0.3333333333333333,0.6666666666666666,0.3333333333333333
employment,false,19,-4.839208034493076,-0.42169795786709585,-16.891027359289716,1.4496320024683875,0.3684210526315789,0.631578947368421,0.2631578947368421
employment,true,48,-4.440788437877644,-3.15502751208642,-10.634663205459104,1.1896685698771348,0.2708333333333333,0.7291666666666666,0.25
