scenario_effective_mode,transition_class,trips,share_of_original_target_bus_trips
DRT_CONTAINING,target_bus_to_DRT,33,0.4714285714285714
car,target_bus_to_car,9,0.12857142857142856
pt,target_bus_to_other_PT,18,0.2571428571428571
ride,target_bus_to_other,9,0.12857142857142856
walk,target_bus_to_walk,1,0.014285714285714285
