source,metric,window1_mean,window2_mean,absolute_change,relative_change
scorestats,avg_executed,111.57741941172658,111.56985317395393,-0.007566237772650197,-6.781155015541612e-05
scorestats,avg_worst,111.31780983391063,111.27542570456433,-0.04238412934630276,-0.0003807488613865211
scorestats,avg_average,111.64063093469092,111.59888863225035,-0.04174230244056787,-0.0003738988403333806
scorestats,avg_best,111.90392470980444,111.86469410913642,-0.03923060066802009,-0.00035057394787318757
modestats,bike,0.14746262341016572,0.14739641000567857,-6.621340448714763e-05,-0.00044901821869108995
modestats,car,0.2760288291409139,0.27615095121475286,0.00012212207383893725,0.0004424250692183801
modestats,drt,5.48124209330828e-07,5.48124209330828e-07,0.0,0.0
modestats,freight,0.00299221005873699,0.00299221005873699,0.0,0.0
modestats,pt,0.21653548227256683,0.216462472127884,-7.301014468283351e-05,-0.00033717404610358984
modestats,pt_w_drt_used,2.7132148361875994e-05,2.7077335940942905e-05,-5.481242093308857e-08,-0.0020202020202022323
modestats,ride,0.06818188296013383,0.0682040271781908,2.2144218056963094e-05,0.00032478155626636024
modestats,truck,0.01620748474570325,0.01620748474570325,0.0,0.0
modestats,walk,0.2725638071392082,0.27255881920890335,-4.987930304845012e-06,-1.8300046353173718e-05
