source,metric,window1_mean,window2_mean,absolute_change,relative_change
scorestats,avg_executed,111.55802522216288,111.55603606084995,-0.001989161312934584,-1.78307325624782e-05
scorestats,avg_worst,111.3010301917559,111.27495890019088,-0.026071291565017418,-0.00023424124215292778
scorestats,avg_average,111.6142360106447,111.58519760692816,-0.029038403716540984,-0.00026016756244043613
scorestats,avg_best,111.868334597107,111.8406726353827,-0.027661961724291473,-0.0002472724906821562
modestats,bike,0.1479419032188046,0.14785749209056764,-8.441112823695529e-05,-0.0005705694357068807
modestats,car,0.27640440384914744,0.27653337747560297,0.0001289736264555308,0.0004666120534241575
modestats,freight,0.00299221005873699,0.00299221005873699,0.0,0.0
modestats,pt,0.21548450891359588,0.2154472364673614,-3.72724462344709e-05,-0.0001729704210404111
modestats,ride,0.0690440275289903,0.06902138999914492,-2.263752984538181e-05,-0.0003278709347579229
modestats,truck,0.01620748474570325,0.01620748474570325,0.0,0.0
modestats,walk,0.2719254616850216,0.27194080916288277,1.5347477861193948e-05,5.64400176654709e-05
