source,metric,window1_mean,window2_mean,absolute_change,relative_change
scorestats,avg_executed,111.57526248048603,111.59507125025466,0.01980876976863044,0.00017753729032987843
scorestats,avg_worst,111.22928050503961,111.19388027958087,-0.03540022545874422,-0.0003182635480334721
scorestats,avg_average,111.6195679495873,111.58458008087148,-0.03498786871583093,-0.0003134564069593345
scorestats,avg_best,111.90486701830346,111.87317898718831,-0.03168803111515217,-0.00028316937376789153
modestats,bike,0.14742480283972187,0.14736675648595376,-5.8046353768104186e-05,-0.0003937353325221086
modestats,car,0.27567506977621187,0.27576392071054434,8.885093433247393e-05,0.00032230311723363867
modestats,drt,1.096248418661656e-06,1.096248418661656e-06,0.0,0.0
modestats,freight,0.00299221005873699,0.00299221005873699,0.0,0.0
modestats,pt,0.2168450628259969,0.21682286379551902,-2.219903047787075e-05,-0.00010237277339205058
modestats,pt_w_drt_used,9.866235767954903e-06,9.866235767954903e-06,0.0,0.0
modestats,ride,0.06827035020751983,0.06829419361062572,2.3843403105891503e-05,0.0003492497553244601
modestats,truck,0.01620748474570325,0.01620748474570325,0.0,0.0
modestats,walk,0.27257405706192267,0.2725416081087303,-3.244895319237662e-05,-0.00011904637419328923
