cohort,n,mean_delta_score,median_delta_score,p10_delta_score,p25_delta_score,p75_delta_score,p90_delta_score,share_better,share_worse,share_unchanged
all_matched,526111,0.04065501716470093,0.0,-0.220071936585029,0.0,0.005837175467675593,0.33943994737742855,0.35251876505148155,0.22040405921944228,0.42707717572907616
baseline_target_line_riders,67,-4.817547915153824,-2.1216479393453795,-12.886520370171805,-8.674018655172837,0.19042252787249225,1.6406228819945907,0.26865671641791045,0.7313432835820896,0.0
scenario_drt_users,14,-7.924897508237742,-7.80840194012292,-16.908918415987966,-10.714345893772784,-2.990599226622244,-0.9450307156576766,0.07142857142857142,0.9285714285714286,0.0
target_line_riders_using_drt,13,-8.670812576564881,-8.242893379490738,-17.38995146955793,-10.925859629553656,-5.308798527850968,-2.1408915767188375,0.0,1.0,0.0
target_line_riders_not_using_drt,54,-3.8899101262956055,-1.323993135766635,-12.261792621514369,-7.260995676256719,0.6466520518861252,1.724710292312746,0.3333333333333333,0.6666666666666666,0.0
