source,metric,window1_mean,window2_mean,absolute_change,relative_change
scorestats,avg_executed,111.61796736190358,111.6062471818951,-0.011720180008481407,-0.0001050026289269413
scorestats,avg_worst,111.36580560378476,111.32337738324384,-0.042428220540926986,-0.0003809806817352656
scorestats,avg_average,111.6636324713397,111.63260454376491,-0.03102792757478312,-0.0002778695882273662
scorestats,avg_best,111.91026056959701,111.88604463854293,-0.024215931054087037,-0.00021638704914843035
modestats,bike,0.14750806290711926,0.14742250071804272,-8.556218907654345e-05,-0.00058005093003234
modestats,car,0.2758845628490181,0.2759866783892164,0.00010211554019834423,0.00037013865199202347
modestats,drt,8.22186313996242e-06,8.22186313996242e-06,0.0,0.0
modestats,freight,0.00299221005873699,0.00299221005873699,0.0,0.0
modestats,pt,0.21672897011846057,0.21670556521472215,-2.3404903738422078e-05,-0.00010799157918588057
modestats,pt_w_drt_used,2.9050583094533894e-05,2.9050583094533894e-05,0.0,0.0
modestats,ride,0.0681889537624342,0.0681904336977994,1.4799353652006353e-06,2.1703447311372928e-05
modestats,truck,0.01620748474570325,0.01620748474570325,0.0,0.0
modestats,walk,0.2724524831122931,0.27245785472954454,5.371617251448413e-06,1.971579480607804e-05
