cohort,n,mean_delta_score,median_delta_score,p10_delta_score,p25_delta_score,p75_delta_score,p90_delta_score,share_better,share_worse,share_unchanged
all_matched,526111,0.05052278035267824,0.0,-0.20375626188402407,0.0,0.006024921709624209,0.3565174988403612,0.3550752597835818,0.2172716403952778,0.4276530998211404
baseline_target_line_riders,67,-3.83583892336491,-2.8213953403810166,-11.677906489112605,-7.743051587173184,0.2620783818415262,2.866055367849711,0.2835820895522388,0.7164179104477612,0.0
scenario_drt_users,36,-1.6760279132796478,-1.994936664068213,-8.623363997804184,-5.16854425217203,1.3385046338785926,4.540098994640182,0.3611111111111111,0.6388888888888888,0.0
target_line_riders_using_drt,27,-3.1226883518181157,-4.014020063606807,-9.274631475579472,-6.521854560760779,-0.786935006950678,4.111106402638209,0.18518518518518517,0.8148148148148148,0.0
target_line_riders_not_using_drt,40,-4.3172155591589965,-1.3147164495522787,-14.052118427355083,-8.75550637133139,0.3715700603828509,1.8641578640855603,0.35,0.65,0.0
